OBJECTID,wdpaid,en_name,PATH,ROW,Shape_Length,Shape_Area
211,2571,Great Barrier Reef,205,169,5.841151369389392,2.152748091298782
212,2571,Great Barrier Reef,205,170,4.014671311372058,0.660773227607863
213,2571,Great Barrier Reef,206,167,5.626292414562822,0.659595099210057
214,2571,Great Barrier Reef,206,168,9.726363467482800,2.236530651302549
215,2571,Great Barrier Reef,206,169,8.136473376571365,2.733814481088737
216,2571,Great Barrier Reef,206,170,6.119353452867640,2.222912646365542
217,2571,Great Barrier Reef,206,171,2.423281902846572,0.242108219356831
218,2571,Great Barrier Reef,207,168,5.832022095860474,0.132952985741642
219,2571,Great Barrier Reef,207,169,8.054875094461290,1.508340318476188
220,2571,Great Barrier Reef,207,170,9.454200405068074,2.309857911657542
221,2571,Great Barrier Reef,207,171,5.868807832314433,1.701923513677015
222,2571,Great Barrier Reef,207,172,1.013377604369141,0.042371672283552
223,2571,Great Barrier Reef,208,170,4.386563778939070,0.445225414058837
224,2571,Great Barrier Reef,208,171,7.125728749057088,2.396288297638884
225,2571,Great Barrier Reef,208,172,5.767123941622968,1.485997954556874
226,2571,Great Barrier Reef,208,173,4.335005770242524,0.917647802084746
227,2571,Great Barrier Reef,208,174,3.751200561264247,0.455776801009972
228,2571,Great Barrier Reef,208,175,1.049957802334449,0.025163667384811
229,2571,Great Barrier Reef,208,176,3.317875062326350,0.236548436742793
230,2571,Great Barrier Reef,208,177,1.277963702296435,0.100927323079859
231,2571,Great Barrier Reef,209,171,4.103734466451563,0.458590637988022
232,2571,Great Barrier Reef,209,172,5.034980581905538,0.553761824848319
233,2571,Great Barrier Reef,209,173,5.018513420575340,0.916600225564574
234,2571,Great Barrier Reef,209,174,7.353382570201934,1.656018821267849
235,2571,Great Barrier Reef,209,175,6.289035293307519,2.290746335432734
236,2571,Great Barrier Reef,209,176,6.356341093662141,2.578952216378976
237,2571,Great Barrier Reef,209,177,3.856002767552332,0.343914993073764
238,2571,Great Barrier Reef,210,174,2.562570701580411,0.312723284956339
239,2571,Great Barrier Reef,210,175,4.978100799426155,0.531000291598330
240,2571,Great Barrier Reef,210,176,5.860677656963325,0.891858689486017
241,2571,Great Barrier Reef,210,177,2.305881345286622,0.092982428721182
242,2572,Kakadu National Park,104,68,0.164788584160606,0.000404756690262
243,2572,Kakadu National Park,104,69,4.592741997918609,0.552421207099033
244,2572,Kakadu National Park,104,70,1.893824047217041,0.169559959605396
245,2572,Kakadu National Park,105,68,2.779727464254153,0.186360201735446
246,2572,Kakadu National Park,105,69,5.233105533437344,1.098186180688066
247,2572,Kakadu National Park,105,70,0.362839571645579,0.001955164504979
248,2572,Kakadu National Park,216,174,0.425243086374436,0.005332544368645
249,2572,Kakadu National Park,216,175,4.164721602576218,0.292579549232942
250,2572,Kakadu National Park,216,176,1.512968896309054,0.084687209432120
251,2572,Kakadu National Park,217,174,2.059282491189843,0.171299617639755
252,2572,Kakadu National Park,217,175,5.581670628418212,1.384894158605864
253,2572,Kakadu National Park,217,176,2.152870196444928,0.071286433529361
